season,round,total_matches,over_25_count,over_25_percentage,gg_count,gg_percentage,multigol_2_4_count,multigol_2_4_percentage,combo_multigol_ht0_2_ft1_3_count,combo_multigol_ht0_2_ft1_3_percentage
2015,16th Finals,32,15,46.88,14,43.75,19,59.38,18,56.25
2015,1st Qualifying Round,102,49,48.04,43,42.16,61,59.8,62,60.78
2015,2nd Qualifying Round,66,31,46.97,26,39.39,36,54.55,41,62.12
2015,3rd Qualifying Round,58,28,48.28,26,44.83,38,65.52,39,67.24
2015,8th Finals,16,7,43.75,6,37.5,10,62.5,9,56.25
2015,Final,1,1,100.0,1,100.0,1,100.0,1,100.0
2015,Group Stage - 1,24,14,58.33,15,62.5,17,70.83,17,70.83
2015,Group Stage - 2,24,8,33.33,11,45.83,16,66.67,16,66.67
2015,Group Stage - 3,24,13,54.17,16,66.67,14,58.33,15,62.5
2015,Group Stage - 4,24,11,45.83,11,45.83,16,66.67,14,58.33
2015,Group Stage - 5,24,9,37.5,10,41.67,12,50.0,15,62.5
2015,Group Stage - 6,24,15,62.5,15,62.5,15,62.5,14,58.33
2015,Play-offs,44,18,40.91,15,34.09,18,40.91,25,56.82
2015,Quarter-finals,8,7,87.5,7,87.5,5,62.5,6,75.0
2015,Semi-finals,4,3,75.0,2,50.0,3,75.0,3,75.0
2016,16th Finals,32,15,46.88,13,40.62,17,53.12,18,56.25
2016,1st Qualifying Round,96,42,43.75,40,41.67,57,59.38,57,59.38
2016,2nd Qualifying Round,66,28,42.42,30,45.45,41,62.12,45,68.18
2016,3rd Qualifying Round,58,22,37.93,25,43.1,36,62.07,38,65.52
2016,8th Finals,16,7,43.75,11,68.75,10,62.5,10,62.5
2016,Final,1,0,0.0,0,0.0,1,100.0,1,100.0
2016,Group Stage - 1,24,10,41.67,14,58.33,15,62.5,13,54.17
2016,Group Stage - 2,24,10,41.67,10,41.67,11,45.83,12,50.0
2016,Group Stage - 3,24,12,50.0,15,62.5,14,58.33,18,75.0
2016,Group Stage - 4,24,14,58.33,15,62.5,15,62.5,11,45.83
2016,Group Stage - 5,24,12,50.0,13,54.17,16,66.67,18,75.0
2016,Group Stage - 6,24,10,41.67,12,50.0,17,70.83,18,75.0
2016,Play-offs,44,24,54.55,15,34.09,32,72.73,29,65.91
2016,Quarter-finals,8,5,62.5,7,87.5,5,62.5,6,75.0
2016,Semi-finals,4,2,50.0,3,75.0,2,50.0,3,75.0
2017,16th Finals,32,17,53.12,16,50.0,17,53.12,16,50.0
2017,1st Qualifying Round,100,52,52.0,29,29.0,54,54.0,60,60.0
2017,2nd Qualifying Round,66,26,39.39,31,46.97,45,68.18,49,74.24
2017,3rd Qualifying Round,58,21,36.21,25,43.1,34,58.62,36,62.07
2017,8th Finals,16,10,62.5,10,62.5,12,75.0,9,56.25
2017,Final,1,1,100.0,0,0.0,1,100.0,1,100.0
2017,Group Stage - 1,24,13,54.17,13,54.17,14,58.33,11,45.83
2017,Group Stage - 2,24,14,58.33,15,62.5,15,62.5,14,58.33
2017,Group Stage - 3,24,15,62.5,16,66.67,18,75.0,14,58.33
2017,Group Stage - 4,24,7,29.17,9,37.5,13,54.17,17,70.83
