season,total_matches,over_25_count,over_25_percentage,gg_count,gg_percentage,multigol_2_4_count,multigol_2_4_percentage,combo_multigol_ht0_2_ft1_3_count,combo_multigol_ht0_2_ft1_3_percentage
2015,475,229,48.21,218,45.89,281,59.16,295,62.11
2016,469,213,45.42,223,47.55,289,61.62,297,63.33
2017,473,224,47.36,216,45.67,281,59.41,288,60.89
2018,519,266,51.25,250,48.17,318,61.27,319,61.46
2019,511,282,55.19,249,48.73,314,61.45,332,64.97
2020,362,211,58.29,180,49.72,216,59.67,232,64.09
2021,177,88,49.72,94,53.11,109,61.58,106,59.89
2022,175,88,50.29,85,48.57,111,63.43,128,73.14
2023,175,110,62.86,105,60.0,107,61.14,113,64.57
2024,269,149,55.39,141,52.42,169,62.83,172,63.94
